_id,Estado,CodMunicipio,MUNICIPIO
1815,QUERÉTARO,13,PEÑAMILLER
1816,QUERÉTARO,14,QUERÉTARO
1817,QUERÉTARO,15,SAN JOAQUÍN
1818,QUERÉTARO,16,SAN JUAN DEL RÍO
1819,QUERÉTARO,17,TEQUISQUIAPAN
1820,QUERÉTARO,18,TOLIMÁN
1821,QUINTANA ROO,1,COZUMEL
1822,QUINTANA ROO,2,FELIPE CARRILLO PUERTO
1823,QUINTANA ROO,3,ISLA MUJERES
1824,QUINTANA ROO,4,OTHÓN P. BLANCO
1825,QUINTANA ROO,5,BENITO JUÁREZ
1826,QUINTANA ROO,6,JOSÉ MARÍA MORELOS
1827,QUINTANA ROO,7,LÁZARO CÁRDENAS
1828,QUINTANA ROO,8,SOLIDARIDAD
1829,QUINTANA ROO,9,TULUM
1830,QUINTANA ROO,10,BACALAR
1831,QUINTANA ROO,11,PUERTO MORELOS
1832,SAN LUIS POTOSÍ,1,AHUALULCO DEL SONIDO 13
1833,SAN LUIS POTOSÍ,2,ALAQUINES
1834,SAN LUIS POTOSÍ,3,AQUISMÓN
1835,SAN LUIS POTOSÍ,4,ARMADILLO DE LOS INFANTE
1836,SAN LUIS POTOSÍ,5,CÁRDENAS
1837,SAN LUIS POTOSÍ,6,CATORCE
1838,SAN LUIS POTOSÍ,7,CEDRAL
1839,SAN LUIS POTOSÍ,8,CERRITOS
1840,SAN LUIS POTOSÍ,9,CERRO DE SAN PEDRO
1841,SAN LUIS POTOSÍ,10,CIUDAD DEL MAÍZ
1842,SAN LUIS POTOSÍ,11,CIUDAD FERNÁNDEZ
1843,SAN LUIS POTOSÍ,12,TANCANHUITZ
1844,SAN LUIS POTOSÍ,13,CIUDAD VALLES
1845,SAN LUIS POTOSÍ,14,COXCATLÁN
1846,SAN LUIS POTOSÍ,15,CHARCAS
1847,SAN LUIS POTOSÍ,16,EBANO
1848,SAN LUIS POTOSÍ,17,GUADALCÁZAR
1849,SAN LUIS POTOSÍ,18,HUEHUETLÁN
1850,SAN LUIS POTOSÍ,19,LAGUNILLAS
1851,SAN LUIS POTOSÍ,20,MATEHUALA
1852,SAN LUIS POTOSÍ,21,MEXQUITIC DE CARMONA
1853,SAN LUIS POTOSÍ,22,MOCTEZUMA
1854,SAN LUIS POTOSÍ,23,RAYÓN
1855,SAN LUIS POTOSÍ,24,RIOVERDE
1856,SAN LUIS POTOSÍ,25,SALINAS
1857,SAN LUIS POTOSÍ,26,SAN ANTONIO
1858,SAN LUIS POTOSÍ,27,SAN CIRO DE ACOSTA
1859,SAN LUIS POTOSÍ,28,SAN LUIS POTOSÍ
1860,SAN LUIS POTOSÍ,29,SAN MARTÍN CHALCHICUAUTLA
1861,SAN LUIS POTOSÍ,30,SAN NICOLÁS TOLENTINO
1862,SAN LUIS POTOSÍ,31,SANTA CATARINA
1863,SAN LUIS POTOSÍ,32,SANTA MARÍA DEL RÍO
1864,SAN LUIS POTOSÍ,33,SANTO DOMINGO
1865,SAN LUIS POTOSÍ,34,SAN VICENTE TANCUAYALAB
1866,SAN LUIS POTOSÍ,35,SOLEDAD DE GRACIANO SÁNCHEZ
1867,SAN LUIS POTOSÍ,36,TAMASOPO
1868,SAN LUIS POTOSÍ,37,TAMAZUNCHALE
1869,SAN LUIS POTOSÍ,38,TAMPACÁN
1870,SAN LUIS POTOSÍ,39,TAMPAMOLÓN CORONA
1871,SAN LUIS POTOSÍ,40,TAMUÍN
1872,SAN LUIS POTOSÍ,41,TANLAJÁS
1873,SAN LUIS POTOSÍ,42,TANQUIÁN DE ESCOBEDO
1874,SAN LUIS POTOSÍ,43,TIERRA NUEVA
1875,SAN LUIS POTOSÍ,44,VANEGAS
1876,SAN LUIS POTOSÍ,45,VENADO
1877,SAN LUIS POTOSÍ,46,VILLA DE ARRIAGA
1878,SAN LUIS POTOSÍ,47,VILLA DE GUADALUPE
1879,SAN LUIS POTOSÍ,48,VILLA DE LA PAZ
1880,SAN LUIS POTOSÍ,49,VILLA DE RAMOS
1881,SAN LUIS POTOSÍ,50,VILLA DE REYES
1882,SAN LUIS POTOSÍ,51,VILLA HIDALGO
1883,SAN LUIS POTOSÍ,52,VILLA JUÁREZ
1884,SAN LUIS POTOSÍ,53,AXTLA DE TERRAZAS
1885,SAN LUIS POTOSÍ,54,XILITLA
1886,SAN LUIS POTOSÍ,55,ZARAGOZA
1887,SAN LUIS POTOSÍ,56,VILLA DE ARISTA
1888,SAN LUIS POTOSÍ,57,MATLAPA
1889,SAN LUIS POTOSÍ,58,EL NARANJO
1890,SAN LUIS POTOSÍ,59,VILLA DE POZOS
1891,SINALOA,1,AHOME
1892,SINALOA,2,ANGOSTURA
1893,SINALOA,3,BADIRAGUATO
1894,SINALOA,4,CONCORDIA
1895,SINALOA,5,COSALÁ
1896,SINALOA,6,CULIACÁN
1897,SINALOA,7,CHOIX
1898,SINALOA,8,ELOTA
1899,SINALOA,9,ESCUINAPA
1900,SINALOA,10,EL FUERTE
1901,SINALOA,11,GUASAVE
1902,SINALOA,12,MAZATLÁN
1903,SINALOA,13,MOCORITO
1904,SINALOA,14,ROSARIO
1905,SINALOA,15,SALVADOR ALVARADO
1906,SINALOA,16,SAN IGNACIO
1907,SINALOA,17,SINALOA
1908,SINALOA,18,NAVOLATO
1909,SINALOA,19,ELDORADO
1910,SINALOA,20,JUAN JOSÉ RÍOS
1911,SONORA,1,ACONCHI
1912,SONORA,2,AGUA PRIETA
1913,SONORA,3,ÁLAMOS
1914,SONORA,4,ALTAR
1915,SONORA,5,ARIVECHI
1916,SONORA,6,ARIZPE
1917,SONORA,7,ATIL
1918,SONORA,8,BACADÉHUACHI
1919,SONORA,9,BACANORA
1920,SONORA,10,BACERAC
1921,SONORA,11,BACOACHI
1922,SONORA,12,BÁCUM
1923,SONORA,13,BANÁMICHI
1924,SONORA,14,BAVIÁCORA
1925,SONORA,15,BAVISPE
1926,SONORA,16,BENJAMÍN HILL
1927,SONORA,17,CABORCA
1928,SONORA,18,CAJEME
1929,SONORA,19,CANANEA
1930,SONORA,20,CARBÓ
1931,SONORA,21,LA COLORADA
1932,SONORA,22,CUCURPE
1933,SONORA,23,CUMPAS
1934,SONORA,24,DIVISADEROS
1935,SONORA,25,EMPALME
1936,SONORA,26,ETCHOJOA
1937,SONORA,27,FRONTERAS
1938,SONORA,28,GRANADOS
1939,SONORA,29,GUAYMAS
1940,SONORA,30,HERMOSILLO
1941,SONORA,31,HUACHINERA
1942,SONORA,32,HUÁSABAS
1943,SONORA,33,HUATABAMPO
1944,SONORA,34,HUÉPAC
1945,SONORA,35,IMURIS
1946,SONORA,36,MAGDALENA
1947,SONORA,37,MAZATÁN
1948,SONORA,38,MOCTEZUMA
1949,SONORA,39,NACO
1950,SONORA,40,NÁCORI CHICO
1951,SONORA,41,NACOZARI DE GARCÍA
1952,SONORA,42,NAVOJOA
1953,SONORA,43,NOGALES
1954,SONORA,44,ÓNAVAS
1955,SONORA,45,OPODEPE
1956,SONORA,46,OQUITOA
1957,SONORA,47,PITIQUITO
1958,SONORA,48,PUERTO PEÑASCO
1959,SONORA,49,QUIRIEGO
1960,SONORA,50,RAYÓN
1961,SONORA,51,ROSARIO
1962,SONORA,52,SAHUARIPA
1963,SONORA,53,SAN FELIPE DE JESÚS
1964,SONORA,54,SAN JAVIER
1965,SONORA,55,SAN LUIS RÍO COLORADO
1966,SONORA,56,SAN MIGUEL DE HORCASITAS
1967,SONORA,57,SAN PEDRO DE LA CUEVA
1968,SONORA,58,SANTA ANA
1969,SONORA,59,SANTA CRUZ
1970,SONORA,60,SÁRIC
1971,SONORA,61,SOYOPA
1972,SONORA,62,SUAQUI GRANDE
1973,SONORA,63,TEPACHE
1974,SONORA,64,TRINCHERAS
1975,SONORA,65,TUBUTAMA
1976,SONORA,66,URES
1977,SONORA,67,VILLA HIDALGO
1978,SONORA,68,VILLA PESQUEIRA
1979,SONORA,69,YÉCORA
1980,SONORA,70,GENERAL PLUTARCO ELÍAS CALLES
1981,SONORA,71,BENITO JUÁREZ
1982,SONORA,72,SAN IGNACIO RÍO MUERTO
1983,TABASCO,1,BALANCÁN
1984,TABASCO,2,CÁRDENAS
1985,TABASCO,3,CENTLA
1986,TABASCO,4,CENTRO
1987,TABASCO,5,COMALCALCO
1988,TABASCO,6,CUNDUACÁN
1989,TABASCO,7,EMILIANO ZAPATA
1990,TABASCO,8,HUIMANGUILLO
1991,TABASCO,9,JALAPA
1992,TABASCO,10,JALPA DE MÉNDEZ
1993,TABASCO,11,JONUTA
1994,TABASCO,12,MACUSPANA
1995,TABASCO,13,NACAJUCA
1996,TABASCO,14,PARAÍSO
1997,TABASCO,15,TACOTALPA
1998,TABASCO,16,TEAPA
1999,TABASCO,17,TENOSIQUE
2000,TAMAULIPAS,1,ABASOLO
2001,TAMAULIPAS,2,ALDAMA
2002,TAMAULIPAS,3,ALTAMIRA
2003,TAMAULIPAS,4,ANTIGUO MORELOS
2004,TAMAULIPAS,5,BURGOS
2005,TAMAULIPAS,6,BUSTAMANTE
2006,TAMAULIPAS,7,CAMARGO
2007,TAMAULIPAS,8,CASAS
2008,TAMAULIPAS,9,CIUDAD MADERO
2009,TAMAULIPAS,10,CRUILLAS
2010,TAMAULIPAS,11,GÓMEZ FARÍAS
2011,TAMAULIPAS,12,GONZÁLEZ
2012,TAMAULIPAS,13,GÜÉMEZ
2013,TAMAULIPAS,14,GUERRERO
2014,TAMAULIPAS,15,GUSTAVO DÍAZ ORDAZ
2015,TAMAULIPAS,16,HIDALGO
2016,TAMAULIPAS,17,JAUMAVE
2017,TAMAULIPAS,18,JIMÉNEZ
2018,TAMAULIPAS,19,LLERA
2019,TAMAULIPAS,20,MAINERO
2020,TAMAULIPAS,21,EL MANTE
2021,TAMAULIPAS,22,MATAMOROS
2022,TAMAULIPAS,23,MÉNDEZ
2023,TAMAULIPAS,24,MIER
2024,TAMAULIPAS,25,MIGUEL ALEMÁN
2025,TAMAULIPAS,26,MIQUIHUANA
2026,TAMAULIPAS,27,NUEVO LAREDO
2027,TAMAULIPAS,28,NUEVO MORELOS
2028,TAMAULIPAS,29,OCAMPO
2029,TAMAULIPAS,30,PADILLA
2030,TAMAULIPAS,31,PALMILLAS
2031,TAMAULIPAS,32,REYNOSA
2032,TAMAULIPAS,33,RÍO BRAVO
2033,TAMAULIPAS,34,SAN CARLOS
2034,TAMAULIPAS,35,SAN FERNANDO
2035,TAMAULIPAS,36,SAN NICOLÁS
2036,TAMAULIPAS,37,SOTO LA MARINA
2037,TAMAULIPAS,38,TAMPICO
2038,TAMAULIPAS,39,TULA
2039,TAMAULIPAS,40,VALLE HERMOSO
2040,TAMAULIPAS,41,VICTORIA
2041,TAMAULIPAS,42,VILLAGRÁN
2042,TAMAULIPAS,43,XICOTÉNCATL
2043,TLAXCALA,1,AMAXAC DE GUERRERO
2044,TLAXCALA,2,APETATITLÁN DE ANTONIO CARVAJAL
2045,TLAXCALA,3,ATLANGATEPEC
2046,TLAXCALA,4,ATLTZAYANCA
2047,TLAXCALA,5,APIZACO
2048,TLAXCALA,6,CALPULALPAN
2049,TLAXCALA,7,EL CARMEN TEQUEXQUITLA
2050,TLAXCALA,8,CUAPIAXTLA
2051,TLAXCALA,9,CUAXOMULCO
2052,TLAXCALA,10,CHIAUTEMPAN
2053,TLAXCALA,11,MUÑOZ DE DOMINGO ARENAS
2054,TLAXCALA,12,ESPAÑITA
2055,TLAXCALA,13,HUAMANTLA
2056,TLAXCALA,14,HUEYOTLIPAN
2057,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS
2058,TLAXCALA,16,IXTENCO
2059,TLAXCALA,17,MAZATECOCHCO DE JOSÉ MARÍA MORELOS
2060,TLAXCALA,18,CONTLA DE JUAN CUAMATZI
2061,TLAXCALA,19,TEPETITLA DE LARDIZÁBAL
2062,TLAXCALA,20,SANCTÓRUM DE LÁZARO CÁRDENAS
2063,TLAXCALA,21,NANACAMILPA DE MARIANO ARISTA
2064,TLAXCALA,22,ACUAMANALA DE MIGUEL HIDALGO
2065,TLAXCALA,23,NATÍVITAS
2066,TLAXCALA,24,PANOTLA
2067,TLAXCALA,25,SAN PABLO DEL MONTE
2068,TLAXCALA,26,SANTA CRUZ TLAXCALA
2069,TLAXCALA,27,TENANCINGO
2070,TLAXCALA,28,TEOLOCHOLCO
2071,TLAXCALA,29,TEPEYANCO
2072,TLAXCALA,30,TERRENATE
2073,TLAXCALA,31,TETLA DE LA SOLIDARIDAD
2074,TLAXCALA,32,TETLATLAHUCA
2075,TLAXCALA,33,TLAXCALA
2076,TLAXCALA,34,TLAXCO
2077,TLAXCALA,35,TOCATLÁN
2078,TLAXCALA,36,TOTOLAC
2079,TLAXCALA,37,ZILTLALTÉPEC DE TRINIDAD SÁNCHEZ SANTOS
2080,TLAXCALA,38,TZOMPANTEPEC
2081,TLAXCALA,39,XALOZTOC
2082,TLAXCALA,40,XALTOCAN
2083,TLAXCALA,41,PAPALOTLA DE XICOHTÉNCATL
2084,TLAXCALA,42,XICOHTZINCO
2085,TLAXCALA,43,YAUHQUEMEHCAN
2086,TLAXCALA,44,ZACATELCO
2087,TLAXCALA,45,BENITO JUÁREZ
2088,TLAXCALA,46,EMILIANO ZAPATA
2089,TLAXCALA,47,LÁZARO CÁRDENAS
2090,TLAXCALA,48,LA MAGDALENA TLALTELULCO
2091,TLAXCALA,49,SAN DAMIÁN TEXÓLOC
2092,TLAXCALA,50,SAN FRANCISCO TETLANOHCAN
2093,TLAXCALA,51,SAN JERÓNIMO ZACUALPAN
2094,TLAXCALA,52,SAN JOSÉ TEACALCO
2095,TLAXCALA,53,SAN JUAN HUACTZINCO
2096,TLAXCALA,54,SAN LORENZO AXOCOMANITLA
2097,TLAXCALA,55,SAN LUCAS TECOPILCO
2098,TLAXCALA,56,SANTA ANA NOPALUCAN
2099,TLAXCALA,57,SANTA APOLONIA TEACALCO
2100,TLAXCALA,58,SANTA CATARINA AYOMETLA
2101,TLAXCALA,59,SANTA CRUZ QUILEHTLA
2102,TLAXCALA,60,SANTA ISABEL XILOXOXTLA
2103,VERACRUZ DE IGNACIO DE LA LLAVE,1,ACAJETE
2104,VERACRUZ DE IGNACIO DE LA LLAVE,2,ACATLÁN
2105,VERACRUZ DE IGNACIO DE LA LLAVE,3,ACAYUCAN
2106,VERACRUZ DE IGNACIO DE LA LLAVE,4,ACTOPAN
2107,VERACRUZ DE IGNACIO DE LA LLAVE,5,ACULA
2108,VERACRUZ DE IGNACIO DE LA LLAVE,6,ACULTZINGO
2109,VERACRUZ DE IGNACIO DE LA LLAVE,7,CAMARÓN DE TEJEDA
2110,VERACRUZ DE IGNACIO DE LA LLAVE,8,ALPATLÁHUAC
2111,VERACRUZ DE IGNACIO DE LA LLAVE,9,ALTO LUCERO DE GUTIÉRREZ BARRIOS
2112,VERACRUZ DE IGNACIO DE LA LLAVE,10,ALTOTONGA
2113,VERACRUZ DE IGNACIO DE LA LLAVE,11,ALVARADO
2114,VERACRUZ DE IGNACIO DE LA LLAVE,12,AMATITLÁN
2115,VERACRUZ DE IGNACIO DE LA LLAVE,13,NARANJOS AMATLÁN
2116,VERACRUZ DE IGNACIO DE LA LLAVE,14,AMATLÁN DE LOS REYES
2117,VERACRUZ DE IGNACIO DE LA LLAVE,15,ANGEL R. CABADA
2118,VERACRUZ DE IGNACIO DE LA LLAVE,16,LA ANTIGUA
2119,VERACRUZ DE IGNACIO DE LA LLAVE,17,APAZAPAN
2120,VERACRUZ DE IGNACIO DE LA LLAVE,18,AQUILA
2121,VERACRUZ DE IGNACIO DE LA LLAVE,19,ASTACINGA
2122,VERACRUZ DE IGNACIO DE LA LLAVE,20,ATLAHUILCO
2123,VERACRUZ DE IGNACIO DE LA LLAVE,21,ATOYAC
2124,VERACRUZ DE IGNACIO DE LA LLAVE,22,ATZACAN
2125,VERACRUZ DE IGNACIO DE LA LLAVE,23,ATZALAN
2126,VERACRUZ DE IGNACIO DE LA LLAVE,24,TLALTETELA
2127,VERACRUZ DE IGNACIO DE LA LLAVE,25,AYAHUALULCO
2128,VERACRUZ DE IGNACIO DE LA LLAVE,26,BANDERILLA
2129,VERACRUZ DE IGNACIO DE LA LLAVE,27,BENITO JUÁREZ
2130,VERACRUZ DE IGNACIO DE LA LLAVE,28,BOCA DEL RÍO
2131,VERACRUZ DE IGNACIO DE LA LLAVE,29,CALCAHUALCO
2132,VERACRUZ DE IGNACIO DE LA LLAVE,30,CAMERINO Z. MENDOZA
2133,VERACRUZ DE IGNACIO DE LA LLAVE,31,CARRILLO PUERTO
2134,VERACRUZ DE IGNACIO DE LA LLAVE,32,CATEMACO
2135,VERACRUZ DE IGNACIO DE LA LLAVE,33,CAZONES DE HERRERA
2136,VERACRUZ DE IGNACIO DE LA LLAVE,34,CERRO AZUL
2137,VERACRUZ DE IGNACIO DE LA LLAVE,35,CITLALTÉPETL
2138,VERACRUZ DE IGNACIO DE LA LLAVE,36,COACOATZINTLA
2139,VERACRUZ DE IGNACIO DE LA LLAVE,37,COAHUITLÁN
2140,VERACRUZ DE IGNACIO DE LA LLAVE,38,COATEPEC
2141,VERACRUZ DE IGNACIO DE LA LLAVE,39,COATZACOALCOS
2142,VERACRUZ DE IGNACIO DE LA LLAVE,40,COATZINTLA
2143,VERACRUZ DE IGNACIO DE LA LLAVE,41,COETZALA
2144,VERACRUZ DE IGNACIO DE LA LLAVE,42,COLIPA
2145,VERACRUZ DE IGNACIO DE LA LLAVE,43,COMAPA
2146,VERACRUZ DE IGNACIO DE LA LLAVE,44,CÓRDOBA
2147,VERACRUZ DE IGNACIO DE LA LLAVE,45,COSAMALOAPAN DE CARPIO
2148,VERACRUZ DE IGNACIO DE LA LLAVE,46,COSAUTLÁN DE CARVAJAL
2149,VERACRUZ DE IGNACIO DE LA LLAVE,47,COSCOMATEPEC
2150,VERACRUZ DE IGNACIO DE LA LLAVE,48,COSOLEACAQUE
2151,VERACRUZ DE IGNACIO DE LA LLAVE,49,COTAXTLA
2152,VERACRUZ DE IGNACIO DE LA LLAVE,50,COXQUIHUI
2153,VERACRUZ DE IGNACIO DE LA LLAVE,51,COYUTLA
2154,VERACRUZ DE IGNACIO DE LA LLAVE,52,CUICHAPA
2155,VERACRUZ DE IGNACIO DE LA LLAVE,53,CUITLÁHUAC
2156,VERACRUZ DE IGNACIO DE LA LLAVE,54,CHACALTIANGUIS
2157,VERACRUZ DE IGNACIO DE LA LLAVE,55,CHALMA
2158,VERACRUZ DE IGNACIO DE LA LLAVE,56,CHICONAMEL
2159,VERACRUZ DE IGNACIO DE LA LLAVE,57,CHICONQUIACO
2160,VERACRUZ DE IGNACIO DE LA LLAVE,58,CHICONTEPEC
2161,VERACRUZ DE IGNACIO DE LA LLAVE,59,CHINAMECA
2162,VERACRUZ DE IGNACIO DE LA LLAVE,60,CHINAMPA DE GOROSTIZA
2163,VERACRUZ DE IGNACIO DE LA LLAVE,61,LAS CHOAPAS
2164,VERACRUZ DE IGNACIO DE LA LLAVE,62,CHOCAMÁN
2165,VERACRUZ DE IGNACIO DE LA LLAVE,63,CHONTLA
2166,VERACRUZ DE IGNACIO DE LA LLAVE,64,CHUMATLÁN
2167,VERACRUZ DE IGNACIO DE LA LLAVE,65,EMILIANO ZAPATA
2168,VERACRUZ DE IGNACIO DE LA LLAVE,66,ESPINAL
2169,VERACRUZ DE IGNACIO DE LA LLAVE,67,FILOMENO MATA
2170,VERACRUZ DE IGNACIO DE LA LLAVE,68,FORTÍN
2171,VERACRUZ DE IGNACIO DE LA LLAVE,69,GUTIÉRREZ ZAMORA
2172,VERACRUZ DE IGNACIO DE LA LLAVE,70,HIDALGOTITLÁN
2173,VERACRUZ DE IGNACIO DE LA LLAVE,71,HUATUSCO
2174,VERACRUZ DE IGNACIO DE LA LLAVE,72,HUAYACOCOTLA
2175,VERACRUZ DE IGNACIO DE LA LLAVE,73,HUEYAPAN DE OCAMPO
2176,VERACRUZ DE IGNACIO DE LA LLAVE,74,HUILOAPAN DE CUAUHTÉMOC
2177,VERACRUZ DE IGNACIO DE LA LLAVE,75,IGNACIO DE LA LLAVE
2178,VERACRUZ DE IGNACIO DE LA LLAVE,76,ILAMATLÁN
2179,VERACRUZ DE IGNACIO DE LA LLAVE,77,ISLA
2180,VERACRUZ DE IGNACIO DE LA LLAVE,78,IXCATEPEC
2181,VERACRUZ DE IGNACIO DE LA LLAVE,79,IXHUACÁN DE LOS REYES
2182,VERACRUZ DE IGNACIO DE LA LLAVE,80,IXHUATLÁN DEL CAFÉ
2183,VERACRUZ DE IGNACIO DE LA LLAVE,81,IXHUATLANCILLO
2184,VERACRUZ DE IGNACIO DE LA LLAVE,82,IXHUATLÁN DEL SURESTE
2185,VERACRUZ DE IGNACIO DE LA LLAVE,83,IXHUATLÁN DE MADERO
2186,VERACRUZ DE IGNACIO DE LA LLAVE,84,IXMATLAHUACAN
2187,VERACRUZ DE IGNACIO DE LA LLAVE,85,IXTACZOQUITLÁN
2188,VERACRUZ DE IGNACIO DE LA LLAVE,86,JALACINGO
2189,VERACRUZ DE IGNACIO DE LA LLAVE,87,XALAPA
2190,VERACRUZ DE IGNACIO DE LA LLAVE,88,JALCOMULCO
2191,VERACRUZ DE IGNACIO DE LA LLAVE,89,JÁLTIPAN
2192,VERACRUZ DE IGNACIO DE LA LLAVE,90,JAMAPA
2193,VERACRUZ DE IGNACIO DE LA LLAVE,91,JESÚS CARRANZA
2194,VERACRUZ DE IGNACIO DE LA LLAVE,92,XICO
2195,VERACRUZ DE IGNACIO DE LA LLAVE,93,JILOTEPEC
2196,VERACRUZ DE IGNACIO DE LA LLAVE,94,JUAN RODRÍGUEZ CLARA
2197,VERACRUZ DE IGNACIO DE LA LLAVE,95,JUCHIQUE DE FERRER
2198,VERACRUZ DE IGNACIO DE LA LLAVE,96,LANDERO Y COSS
2199,VERACRUZ DE IGNACIO DE LA LLAVE,97,LERDO DE TEJADA
2200,VERACRUZ DE IGNACIO DE LA LLAVE,98,MAGDALENA
2201,VERACRUZ DE IGNACIO DE LA LLAVE,99,MALTRATA
2202,VERACRUZ DE IGNACIO DE LA LLAVE,100,MANLIO FABIO ALTAMIRANO
2203,VERACRUZ DE IGNACIO DE LA LLAVE,101,MARIANO ESCOBEDO
2204,VERACRUZ DE IGNACIO DE LA LLAVE,102,MARTÍNEZ DE LA TORRE
2205,VERACRUZ DE IGNACIO DE LA LLAVE,103,MECATLÁN
2206,VERACRUZ DE IGNACIO DE LA LLAVE,104,MECAYAPAN
2207,VERACRUZ DE IGNACIO DE LA LLAVE,105,MEDELLÍN DE BRAVO
2208,VERACRUZ DE IGNACIO DE LA LLAVE,106,MIAHUATLÁN
2209,VERACRUZ DE IGNACIO DE LA LLAVE,107,LAS MINAS
2210,VERACRUZ DE IGNACIO DE LA LLAVE,108,MINATITLÁN
2211,VERACRUZ DE IGNACIO DE LA LLAVE,109,MISANTLA
2212,VERACRUZ DE IGNACIO DE LA LLAVE,110,MIXTLA DE ALTAMIRANO
2213,VERACRUZ DE IGNACIO DE LA LLAVE,111,MOLOACÁN
2214,VERACRUZ DE IGNACIO DE LA LLAVE,112,NAOLINCO
2215,VERACRUZ DE IGNACIO DE LA LLAVE,113,NARANJAL
2216,VERACRUZ DE IGNACIO DE LA LLAVE,114,NAUTLA
2217,VERACRUZ DE IGNACIO DE LA LLAVE,115,NOGALES
2218,VERACRUZ DE IGNACIO DE LA LLAVE,116,OLUTA
2219,VERACRUZ DE IGNACIO DE LA LLAVE,117,OMEALCA
2220,VERACRUZ DE IGNACIO DE LA LLAVE,118,ORIZABA
2221,VERACRUZ DE IGNACIO DE LA LLAVE,119,OTATITLÁN
2222,VERACRUZ DE IGNACIO DE LA LLAVE,120,OTEAPAN
2223,VERACRUZ DE IGNACIO DE LA LLAVE,121,OZULUAMA DE MASCAREÑAS
2224,VERACRUZ DE IGNACIO DE LA LLAVE,122,PAJAPAN
2225,VERACRUZ DE IGNACIO DE LA LLAVE,123,PÁNUCO
2226,VERACRUZ DE IGNACIO DE LA LLAVE,124,PAPANTLA
2227,VERACRUZ DE IGNACIO DE LA LLAVE,125,PASO DEL MACHO
2228,VERACRUZ DE IGNACIO DE LA LLAVE,126,PASO DE OVEJAS
2229,VERACRUZ DE IGNACIO DE LA LLAVE,127,LA PERLA
2230,VERACRUZ DE IGNACIO DE LA LLAVE,128,PEROTE
2231,VERACRUZ DE IGNACIO DE LA LLAVE,129,PLATÓN SÁNCHEZ
2232,VERACRUZ DE IGNACIO DE LA LLAVE,130,PLAYA VICENTE
2233,VERACRUZ DE IGNACIO DE LA LLAVE,131,POZA RICA DE HIDALGO
2234,VERACRUZ DE IGNACIO DE LA LLAVE,132,LAS VIGAS DE RAMÍREZ
2235,VERACRUZ DE IGNACIO DE LA LLAVE,133,PUEBLO VIEJO
2236,VERACRUZ DE IGNACIO DE LA LLAVE,134,PUENTE NACIONAL
2237,VERACRUZ DE IGNACIO DE LA LLAVE,135,RAFAEL DELGADO
2238,VERACRUZ DE IGNACIO DE LA LLAVE,136,RAFAEL LUCIO
2239,VERACRUZ DE IGNACIO DE LA LLAVE,137,LOS REYES
2240,VERACRUZ DE IGNACIO DE LA LLAVE,138,RÍO BLANCO
2241,VERACRUZ DE IGNACIO DE LA LLAVE,139,SALTABARRANCA
2242,VERACRUZ DE IGNACIO DE LA LLAVE,140,SAN ANDRÉS TENEJAPAN
2243,VERACRUZ DE IGNACIO DE LA LLAVE,141,SAN ANDRÉS TUXTLA
2244,VERACRUZ DE IGNACIO DE LA LLAVE,142,SAN JUAN EVANGELISTA
2245,VERACRUZ DE IGNACIO DE LA LLAVE,143,SANTIAGO TUXTLA
2246,VERACRUZ DE IGNACIO DE LA LLAVE,144,SAYULA DE ALEMÁN
2247,VERACRUZ DE IGNACIO DE LA LLAVE,145,SOCONUSCO
2248,VERACRUZ DE IGNACIO DE LA LLAVE,146,SOCHIAPA
2249,VERACRUZ DE IGNACIO DE LA LLAVE,147,SOLEDAD ATZOMPA
2250,VERACRUZ DE IGNACIO DE LA LLAVE,148,SOLEDAD DE DOBLADO
2251,VERACRUZ DE IGNACIO DE LA LLAVE,149,SOTEAPAN
2252,VERACRUZ DE IGNACIO DE LA LLAVE,150,TAMALÍN
2253,VERACRUZ DE IGNACIO DE LA LLAVE,151,TAMIAHUA
2254,VERACRUZ DE IGNACIO DE LA LLAVE,152,TAMPICO ALTO
2255,VERACRUZ DE IGNACIO DE LA LLAVE,153,TANCOCO
2256,VERACRUZ DE IGNACIO DE LA LLAVE,154,TANTIMA
2257,VERACRUZ DE IGNACIO DE LA LLAVE,155,TANTOYUCA
2258,VERACRUZ DE IGNACIO DE LA LLAVE,156,TATATILA
2259,VERACRUZ DE IGNACIO DE LA LLAVE,157,CASTILLO DE TEAYO
2260,VERACRUZ DE IGNACIO DE LA LLAVE,158,TECOLUTLA
2261,VERACRUZ DE IGNACIO DE LA LLAVE,159,TEHUIPANGO
2262,VERACRUZ DE IGNACIO DE LA LLAVE,160,ÁLAMO TEMAPACHE
2263,VERACRUZ DE IGNACIO DE LA LLAVE,161,TEMPOAL
2264,VERACRUZ DE IGNACIO DE LA LLAVE,162,TENAMPA
2265,VERACRUZ DE IGNACIO DE LA LLAVE,163,TENOCHTITLÁN
2266,VERACRUZ DE IGNACIO DE LA LLAVE,164,TEOCELO
2267,VERACRUZ DE IGNACIO DE LA LLAVE,165,TEPATLAXCO
2268,VERACRUZ DE IGNACIO DE LA LLAVE,166,TEPETLÁN
2269,VERACRUZ DE IGNACIO DE LA LLAVE,167,TEPETZINTLA
2270,VERACRUZ DE IGNACIO DE LA LLAVE,168,TEQUILA
2271,VERACRUZ DE IGNACIO DE LA LLAVE,169,JOSÉ AZUETA
